Key,japanese
44MagBulletHPDesc,殺傷能力を高める加工をしたマグナム弾
44MagCoilroundDesc,コイルガン系列専用のマグナム弾
44MagCoilroundHPDesc,コイルガン系列専用のHPマグナム弾
762mmBulletHPDesc,殺傷能力を高める加工をした7.62ミリ弾
762mmCoilroundDesc,コイルガン系列専用の7.62ミリ弾
762mmCoilroundHPDesc,コイルガン系列専用のHP7.62ミリ弾
9mmBulletHPDesc,殺傷能力を高める加工をした9ミリ弾
AdminClassBookDesc,クラスブック: 管理者用
AdminGainLvlBookDesc,レベル調整ブック: 管理者用
adobeGroupDesc,砂漠では特殊な道具を使わずにセラミックスを作ることが可能です。コンクリートブロックからアップグレードすることができます。
adobePeachShapes:VariantHelper,ピーチシェイプ (変形)
adobeTanShapes:VariantHelper,タンシェイプ (変形)
adobeWhiteShapes:VariantHelper,ホワイトシェイプ (変形)
advancedlockpicking_desc,矢印キーを使用してロックピックの位置を変更し、スペースキーでロックを解除します。
advforge,高度鍛造炉
advForgeDesc,燃料不要の製鉄特化の炉です。るつぼ等を追加することでレシピが追加されます。
ammo44MagnumBulletSteel,.44マグナム弾 (スチール)
ammo44MagnumBulletSteelAP,.44マグナム弾 (スチールAP)
ammo44MagnumBulletSteelHP,.44マグナム弾 (スチールHP)
ammo762mmBulletFMJSteel,7.62mm弾 (スチール)
ammo762mmBulletSteelAP,7.62mm弾 (スチールAP)
ammo762mmBulletSteelHP,7.62mm弾 (スチールHP)
ammo9mmBulletSteel,9mm弾薬箱 (スチール)
ammo9mmBulletSteelAP,9mm弾薬箱 (スチールAP)
ammo9mmBulletSteelHP,9mm弾薬箱 (スチールHP)
ammoBundle44MagnumBulletSteel,.44マグナム弾薬箱 (スチール)
ammoBundle44MagnumBulletSteelAP,.44マグナム弾薬箱 (スチールAP)
ammoBundle44MagnumBulletSteelHP,.44マグナム弾薬箱 (スチールHP)
ammoBundle762mmBulletFMJSteel,7.62mm弾薬箱 (スチール)
ammoBundle762mmBulletSteelAP,7.62mm弾薬箱 (スチールAP)
ammoBundle762mmBulletSteelHP,7.62mm弾薬箱 (スチールHP)
ammoBundle9mmBulletSteel,9mm弾薬箱 (スチール)
ammoBundle9mmBulletSteelAP,9mm弾薬箱 (スチールAP)
ammoBundle9mmBulletSteelHP,9mm弾薬箱 (スチールHP)
ammoRocketPulse,パルスロケット
ammoRocketPulseDesc,その爆風は悪魔達の再生能力を無効化する事ができる高性能なロケット弾です。
ammoSteelAPGroupDesc,スチール製の徹甲弾は敵１体または耐久250までのブロック１個を貫通してその後方の敵にダメージを与えるが、銃の耐久度、射程、命中に悪影響を与える
ammoSteelCasedGroupDesc,スチール製の弾丸は真鍮製より安価だが、銃の射程、命中に悪影響を与える
ammoSteelHPGroupDesc,殺傷能力を高める加工をしたスチール製弾丸。銃の射程、命中に悪影響を与える
animalAny,動物全般
animalBigSnake,ガラガラヘビ
animalBoarFemale,イノシシ (メス)
animalBoarKill,イノシシ
animalBoarWild,イノシシ
animalBossGrace,グレース
animalBreedingTip,(α版)将来的には交配、産卵等の動物飼育の過程が楽しめます。
animalBreedingTip_title,[C0392B]DF[-] - 動物飼育
animalBull,雄牛
animalCow,乳牛
animalCoyote,コヨーテ
animalDireWolf,ダイアウルフ
animalFarmBoar,農場イノシシ(メス)
animalFarmBoarMale,農場イノシシ(オス)
animalFarmChickenFemale,農場チキン(メス)
animalFarmCow,農場乳牛(メス)
animalFarmCowMale,農場乳牛(オス)
animalFarmGoat,農場ヤギ(メス)
animalFarmGoatMale,農場ヤギ(オス)
animalFarmSheep,農場ヒツジ(メス)
animalFarmSheepMale,農場ヒツジ(オス)
animalFeedDesc,鶏小屋や捕獲罠のクラフトや再利用に使います。
animalGoat,ヤギ(オス)
animalGoatFemale,ヤギ(メス)
animalHellwolf,地獄オオカミ
animalHornet,スズメバチ
animalMountainLion,クーガー
animalSheep,ヒツジ(メス)
animalSheepMale,ヒツジ(オス)
animalSnake,ヘビ
animalSnareDesc,屋外に設置して暫くすると動物が捕獲することができます。
animalSpider,スパイダー
animalWolfFemale,オオカミ(メス)
animalWolfMale,オオカミ(オス)
animalWolfTame,オオカミ(メス)
animalWolfTameMale,オオカミ(オス)
animalZombieBear,ゾンビクマ
animalZombieBearDemon,ゾンビクマ(悪魔)
animalZombieDogRad,ゾンビ犬(放射能汚染)
animalZombieVultureDemon,ハゲワシ(悪魔)
animalZombieVultureRadiated,ハゲワシ(放射能汚染)
Anna_Bunker_completion,素晴らしいわ！これでこの馬鹿げた世界を終わらせる研究が捗るわ。本当にありがとう！こちらが報酬よ。
Anna_Bunker_description,荒野の研究室からアンナ博士の研究資料を回収する事になった。（各種カードキーと放射線対策が必要）
Anna_Bunker_fetch,クエスト-地獄からの研究資料回収
Anna_Bunker_fetch_offer,私は政府の極秘研究所からここへ逃げてきたの。私の研究データの回収には放射線対策と逃げる途中で落とした各種カードキーが必要なのよ…研究資料の回収、お願いできない？
Anna_Bunker_statement,クエスト-地獄からの研究資料回収
Anna_Bunker_subtitle,クエスト-地獄からの研究資料回収
AnnaNoWorkResponseText,何か仕事はあるか？
AnnaNoWorkStatementText,…せめてイヴに認められるぐらいの腕前じゃ無いとあなたに仕事は任せられないわ。
AnnaQuestOfferText,クエスト-失われた研究
antiradDesc,抗放射線薬は、放射線障害を治療し、放射線防御効果がある。
AppleDesc,1日1個で健康に！？この世の終わりに役立ちそうです。
appleJuiceDesc,栄養価が高く、水分補給に役立ちます！
applePieDesc,祖母が作ってくれた味を思い出す栄養価が高くて美味しいアップルパイ
APTipDesc,対象の装甲を貫く為、弾体の硬度と質量を大きく加工した弾丸です
armorIronSetSchematicDesc,アイアン系アーマーのクラフトがアンロックされます。クラフト品質はパーク等のレベルの影響を受けます。
armorLeatherSetSchematicDesc,レザー系アーマーのクラフトがアンロックされます。クラフト品質はパーク等のレベルの影響を受けます。
